Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,6,0,5,Some Random Commen with Id 0
1,0,6,136,8,Some Random Commen with Id 1
2,0,6,63,9,Some Random Commen with Id 2
3,0,6,112,4,Some Random Commen with Id 3
4,1,9,117,8,Some Random Commen with Id 4
5,1,9,177,5,Some Random Commen with Id 5
6,1,9,35,7,Some Random Commen with Id 6
7,1,9,100,3,Some Random Commen with Id 7
8,2,1,30,4,Some Random Commen with Id 8
9,2,1,37,4,Some Random Commen with Id 9
10,2,1,17,9,Some Random Commen with Id 10
11,2,1,146,0,Some Random Commen with Id 11
12,2,1,152,7,Some Random Commen with Id 12
13,2,1,6,5,Some Random Commen with Id 13
14,3,1,65,3,Some Random Commen with Id 14
15,3,1,129,7,Some Random Commen with Id 15
16,3,1,182,5,Some Random Commen with Id 16
17,3,1,66,8,Some Random Commen with Id 17
18,3,1,60,3,Some Random Commen with Id 18
19,3,1,15,7,Some Random Commen with Id 19
20,3,1,57,7,Some Random Commen with Id 20
21,4,9,146,6,Some Random Commen with Id 21
22,4,9,26,1,Some Random Commen with Id 22
23,4,9,94,4,Some Random Commen with Id 23
24,5,8,65,9,Some Random Commen with Id 24
25,5,8,41,5,Some Random Commen with Id 25
26,6,3,139,4,Some Random Commen with Id 26
27,7,2,72,9,Some Random Commen with Id 27
28,7,2,123,1,Some Random Commen with Id 28
29,7,2,5,4,Some Random Commen with Id 29
30,7,2,179,7,Some Random Commen with Id 30
31,7,2,173,9,Some Random Commen with Id 31
32,7,2,32,4,Some Random Commen with Id 32
33,7,2,137,2,Some Random Commen with Id 33
34,7,2,14,6,Some Random Commen with Id 34
35,8,6,112,6,Some Random Commen with Id 35
36,8,6,175,8,Some Random Commen with Id 36
37,8,6,144,8,Some Random Commen with Id 37
38,8,6,99,8,Some Random Commen with Id 38
39,9,5,66,2,Some Random Commen with Id 39
40,9,5,194,4,Some Random Commen with Id 40
41,9,5,10,1,Some Random Commen with Id 41
42,9,5,98,7,Some Random Commen with Id 42
43,10,2,5,5,Some Random Commen with Id 43
44,10,2,109,6,Some Random Commen with Id 44
45,11,0,48,2,Some Random Commen with Id 45
46,11,0,143,6,Some Random Commen with Id 46
47,11,0,141,8,Some Random Commen with Id 47
48,11,0,167,3,Some Random Commen with Id 48
49,11,0,17,7,Some Random Commen with Id 49
50,11,0,102,7,Some Random Commen with Id 50
51,11,0,91,0,Some Random Commen with Id 51
52,11,0,177,1,Some Random Commen with Id 52
53,11,0,155,0,Some Random Commen with Id 53
54,12,2,73,8,Some Random Commen with Id 54
55,12,2,57,3,Some Random Commen with Id 55
56,12,2,17,6,Some Random Commen with Id 56
57,13,7,76,0,Some Random Commen with Id 57
58,13,7,84,8,Some Random Commen with Id 58
59,13,7,43,1,Some Random Commen with Id 59
60,13,7,88,2,Some Random Commen with Id 60
61,13,7,133,5,Some Random Commen with Id 61
62,13,7,70,0,Some Random Commen with Id 62
63,13,7,135,8,Some Random Commen with Id 63
64,13,7,85,3,Some Random Commen with Id 64
65,13,7,35,9,Some Random Commen with Id 65
66,14,4,81,4,Some Random Commen with Id 66
67,14,4,141,7,Some Random Commen with Id 67
68,14,4,153,2,Some Random Commen with Id 68
69,14,4,3,0,Some Random Commen with Id 69
70,14,4,91,8,Some Random Commen with Id 70
71,14,4,52,5,Some Random Commen with Id 71
72,14,4,110,8,Some Random Commen with Id 72
73,15,0,109,1,Some Random Commen with Id 73
74,16,6,128,9,Some Random Commen with Id 74
75,16,6,155,1,Some Random Commen with Id 75
76,16,6,118,6,Some Random Commen with Id 76
77,16,6,161,5,Some Random Commen with Id 77
78,16,6,87,9,Some Random Commen with Id 78
79,16,6,142,1,Some Random Commen with Id 79
80,16,6,112,8,Some Random Commen with Id 80
81,16,6,127,1,Some Random Commen with Id 81
82,17,4,44,1,Some Random Commen with Id 82
83,18,9,169,5,Some Random Commen with Id 83
84,18,9,135,8,Some Random Commen with Id 84
85,18,9,16,9,Some Random Commen with Id 85
86,18,9,194,2,Some Random Commen with Id 86
87,19,4,27,2,Some Random Commen with Id 87
88,19,4,65,9,Some Random Commen with Id 88
89,19,4,32,0,Some Random Commen with Id 89
90,19,4,95,0,Some Random Commen with Id 90
91,19,4,45,9,Some Random Commen with Id 91
92,19,4,198,8,Some Random Commen with Id 92
93,20,4,91,6,Some Random Commen with Id 93
94,20,4,72,6,Some Random Commen with Id 94
95,20,4,8,0,Some Random Commen with Id 95
96,20,4,186,8,Some Random Commen with Id 96
97,20,4,161,3,Some Random Commen with Id 97
98,21,0,3,6,Some Random Commen with Id 98
99,22,1,167,7,Some Random Commen with Id 99
100,22,1,81,5,Some Random Commen with Id 100
101,22,1,164,9,Some Random Commen with Id 101
102,22,1,195,1,Some Random Commen with Id 102
103,23,7,63,3,Some Random Commen with Id 103
104,23,7,11,1,Some Random Commen with Id 104
105,23,7,42,6,Some Random Commen with Id 105
106,23,7,69,4,Some Random Commen with Id 106
107,23,7,46,9,Some Random Commen with Id 107
108,24,9,102,6,Some Random Commen with Id 108
109,24,9,1,0,Some Random Commen with Id 109
110,25,6,181,1,Some Random Commen with Id 110
111,25,6,30,0,Some Random Commen with Id 111
112,25,6,170,9,Some Random Commen with Id 112
113,25,6,136,1,Some Random Commen with Id 113
114,25,6,0,0,Some Random Commen with Id 114
115,25,6,179,5,Some Random Commen with Id 115
116,26,8,58,3,Some Random Commen with Id 116
117,26,8,115,7,Some Random Commen with Id 117
118,27,3,18,2,Some Random Commen with Id 118
119,27,3,46,8,Some Random Commen with Id 119
120,27,3,152,7,Some Random Commen with Id 120
121,27,3,57,2,Some Random Commen with Id 121
122,27,3,4,6,Some Random Commen with Id 122
123,27,3,185,4,Some Random Commen with Id 123
124,27,3,91,3,Some Random Commen with Id 124
125,27,3,165,2,Some Random Commen with Id 125
126,27,3,18,4,Some Random Commen with Id 126
127,28,6,169,5,Some Random Commen with Id 127
128,28,6,2,0,Some Random Commen with Id 128
129,28,6,171,2,Some Random Commen with Id 129
130,29,6,33,0,Some Random Commen with Id 130
131,29,6,137,5,Some Random Commen with Id 131
132,29,6,86,6,Some Random Commen with Id 132
133,29,6,108,3,Some Random Commen with Id 133
134,30,7,150,6,Some Random Commen with Id 134
135,30,7,175,5,Some Random Commen with Id 135
136,30,7,157,3,Some Random Commen with Id 136
137,30,7,122,8,Some Random Commen with Id 137
138,30,7,192,8,Some Random Commen with Id 138
139,30,7,67,2,Some Random Commen with Id 139
140,30,7,44,5,Some Random Commen with Id 140
141,30,7,155,9,Some Random Commen with Id 141
142,31,6,159,7,Some Random Commen with Id 142
143,31,6,75,6,Some Random Commen with Id 143
144,31,6,169,9,Some Random Commen with Id 144
145,31,6,139,7,Some Random Commen with Id 145
146,31,6,100,5,Some Random Commen with Id 146
147,32,3,149,1,Some Random Commen with Id 147
148,33,0,110,9,Some Random Commen with Id 148
149,33,0,171,7,Some Random Commen with Id 149
150,33,0,124,1,Some Random Commen with Id 150
151,33,0,33,9,Some Random Commen with Id 151
152,33,0,24,9,Some Random Commen with Id 152
153,33,0,26,9,Some Random Commen with Id 153
154,34,0,26,3,Some Random Commen with Id 154
155,34,0,120,4,Some Random Commen with Id 155
156,34,0,176,9,Some Random Commen with Id 156
157,34,0,79,5,Some Random Commen with Id 157
158,34,0,53,3,Some Random Commen with Id 158
159,35,3,25,7,Some Random Commen with Id 159
160,35,3,132,0,Some Random Commen with Id 160
161,35,3,143,8,Some Random Commen with Id 161
162,35,3,52,0,Some Random Commen with Id 162
163,35,3,49,9,Some Random Commen with Id 163
164,35,3,126,2,Some Random Commen with Id 164
165,35,3,182,4,Some Random Commen with Id 165
166,36,1,184,1,Some Random Commen with Id 166
167,36,1,18,9,Some Random Commen with Id 167
168,36,1,114,9,Some Random Commen with Id 168
169,36,1,12,3,Some Random Commen with Id 169
170,38,3,85,4,Some Random Commen with Id 170
171,38,3,64,3,Some Random Commen with Id 171
172,38,3,80,6,Some Random Commen with Id 172
173,38,3,47,6,Some Random Commen with Id 173
174,39,9,93,9,Some Random Commen with Id 174
175,39,9,49,9,Some Random Commen with Id 175
176,39,9,37,3,Some Random Commen with Id 176
177,39,9,91,1,Some Random Commen with Id 177
178,39,9,119,5,Some Random Commen with Id 178
